Date Time,Event,Actual
2/7/13,Nonfarm Productivity,-2.00%
2/7/13,Unit Labor Costs,4.50%
2/7/13,Initial Jobless Claims,366
2/7/13,Continuing Claims,3224
2/7/13,Langer Consumer Comfort,-36.3
2/7/13,Consumer Credit,$14.60 
2/8/13,Trade Balance,($38.50)
2/8/13,Wholesale Inventories MoM,-0.10%
2/12/13,NFIB Small Business Optimism,88.9
2/12/13,JOLTS Job Openings,3617
2/12/13,Monthly Budget Statement,$2.90 
2/13/13,MBA Mortgage Applications,-6.40%
2/13/13,Import Price Index MoM,0.60%
2/13/13,Import Price Index YoY,-1.30%
2/13/13,Retail Sales Advance MoM,0.10%
2/13/13,Retail Sales Ex Auto MoM,0.20%
2/13/13,Retail Sales Ex Auto and Gas,0.20%
2/13/13,Retail Sales Control Group,0.10%
2/13/13,Business Inventories,0.10%
2/14/13,Initial Jobless Claims,341
2/14/13,Continuing Claims,3114
2/14/13,Langer Consumer Comfort,-35.9
2/15/13,Empire Manufacturing,10
2/15/13,Total Net TIC Flows,$25.20 
2/15/13,Net Long-term TIC Flows,$64.20 
2/15/13,Industrial Production MoM,-0.10%
2/15/13,Capacity Utilization,79.10%
2/15/13,Manufacturing (SIC) Production,-0.40%
2/15/13,U. of Mich. Sentiment,76.3
2/19/13,NAHB Housing Market Index,46
2/20/13,MBA Mortgage Applications,-1.70%
2/20/13,Housing Starts,890
2/20/13,Housing Starts MoM,-8.50%
2/20/13,Building Permits,925
2/20/13,FOMC Meeting Minutes,--
2/21/13,CPI MoM,0.00%
2/21/13,CPI Ex Food and Energy MoM,0.30%
2/21/13,CPI YoY,1.60%
2/21/13,CPI Ex Food and Energy YoY,1.90%
2/21/13,CPI Core Index SA,232.108
2/21/13,CPI Index NSA,230.28
2/21/13,Initial Jobless Claims,362
2/21/13,Continuing Claims,3148
2/21/13,Langer Consumer Comfort,-33.4
2/21/13,Mortgage Delinquencies,7.09%
2/21/13,MBA Mortgage Foreclosures,3.74%
2/21/13,Philadelphia Fed Business Outlook,-12.5
2/21/13,Existing Home Sales,4.92
2/21/13,Existing Home Sales MoM,0.40%
2/21/13,Leading Index,0.20%
2/25/13,Chicago Fed Nat Activity Index,-0.32
2/25/13,Dallas Fed Manf. Activity,2.2
2/26/13,FHFA House Price Index MoM,0.60%
2/26/13,House Price Purchase Index QoQ,1.40%
2/26/13,Richmond Fed Manufact. Index,6
2/26/13,Conf. Board Consumer Confidence,69.6
2/26/13,New Home Sales,437
2/26/13,New Home Sales MoM,15.60%
2/27/13,MBA Mortgage Applications,-3.80%
2/27/13,Durable Goods Orders,-5.20%
2/27/13,Durables Ex Transportation,1.90%
2/27/13,Cap Goods Orders Nondef Ex Air,6.30%
2/27/13,Cap Goods Ship Nondef Ex Air,-1.00%
2/27/13,Pending Home Sales MoM,4.50%
2/27/13,Pending Home Sales NSA YoY,10.40%
2/28/13,GDP Annualized QoQ,0.10%
2/28/13,Personal Consumption,2.10%
2/28/13,GDP Price Index,0.90%
2/28/13,Core PCE QoQ,0.90%
2/28/13,Initial Jobless Claims,344
2/28/13,Continuing Claims,3074
2/28/13,MNI Chicago PMI,56.8
2/28/13,Langer Consumer Comfort,-32.8
2/28/13,Kansas City Fed Manf. Activity,-10
3/1/13,Personal Income,-3.60%
3/1/13,Personal Spending,0.20%
3/1/13,PCE Deflator MoM,0.00%
3/1/13,PCE Deflator YoY,1.20%
3/1/13,PCE Core Deflator MoM,0.10%
3/1/13,PCE Core Deflator YoY,1.30%
3/1/13,U. of Mich. Sentiment,77.6
3/1/13,Construction Spending MoM,-2.10%
3/1/13,ISM Manufacturing,54.2
3/1/13,ISM Prices Paid,61.5
3/1/13,Wards Total Vehicle Sales,15.33
3/5/13,ISM Services Index,56
3/6/13,MBA Mortgage Applications,14.80%
3/6/13,ADP Employment Change,198
3/6/13,Factory Orders,-2.00%
3/7/13,Challenger Job Cuts YoY,7.00%
3/7/13,Trade Balance,($44.40)
3/7/13,Nonfarm Productivity,-1.90%
3/7/13,Unit Labor Costs,4.60%
3/7/13,Initial Jobless Claims,340
3/7/13,Continuing Claims,3094
3/7/13,Langer Consumer Comfort,-32.4
3/7/13,Household Change in Net Worth,"$1,174 "
3/7/13,Consumer Credit,$16.15 
3/8/13,Change in Nonfarm Payrolls,236
3/8/13,Change in Private Payrolls,246
3/8/13,Change in Manufact. Payrolls,14
3/8/13,Unemployment Rate,7.70%
3/8/13,Average Hourly Earnings MoM,0.20%
3/8/13,Average Hourly Earnings YoY,2.10%
3/8/13,Average Weekly Hours All Employees,34.5
3/8/13,Underemployment Rate,14.30%
3/8/13,Wholesale Inventories MoM,1.20%
3/8/13,Wholesale Trade Sales MoM,-0.80%
3/12/13,NFIB Small Business Optimism,90.8
3/12/13,JOLTS Job Openings,3693
3/13/13,MBA Mortgage Applications,-4.70%
3/13/13,Import Price Index MoM,1.10%
3/13/13,Import Price Index YoY,-0.30%
3/13/13,Retail Sales Advance MoM,1.10%
3/13/13,Retail Sales Ex Auto MoM,1.00%
3/13/13,Retail Sales Ex Auto and Gas,0.40%
3/13/13,Retail Sales Control Group,0.40%
3/13/13,Business Inventories,1.00%
3/13/13,Monthly Budget Statement,($203.50)
3/14/13,Initial Jobless Claims,332
3/14/13,Continuing Claims,3024
3/14/13,Current Account Balance,($110.40)
3/14/13,Langer Consumer Comfort,-31.6
3/15/13,Empire Manufacturing,9.2
3/15/13,CPI MoM,0.70%
3/15/13,CPI Ex Food and Energy MoM,0.20%
3/15/13,CPI YoY,2.00%
3/15/13,CPI Ex Food and Energy YoY,2.00%
3/15/13,CPI Core Index SA,232.512
3/15/13,CPI Index NSA,232.166
3/15/13,Total Net TIC Flows,$110.90 
3/15/13,Net Long-term TIC Flows,$25.70 
3/15/13,Industrial Production MoM,0.70%
3/15/13,Capacity Utilization,79.60%
3/15/13,Manufacturing (SIC) Production,0.80%
3/15/13,U. of Mich. Sentiment,71.8
3/18/13,NAHB Housing Market Index,44
3/19/13,Housing Starts,917
3/19/13,Housing Starts MoM,0.80%
3/19/13,Building Permits,946
3/20/13,MBA Mortgage Applications,-7.10%
3/20/13,FOMC Rate Decision (Upper Bound),0.25%
3/21/13,Initial Jobless Claims,336
3/21/13,Continuing Claims,3053
3/21/13,FHFA House Price Index MoM,0.60%
3/21/13,Langer Consumer Comfort,-33.9
3/21/13,Philadelphia Fed Business Outlook,2
3/21/13,Existing Home Sales,4.98
3/21/13,Existing Home Sales MoM,0.80%
3/21/13,Leading Index,0.50%
3/25/13,Chicago Fed Nat Activity Index,0.44
3/25/13,Dallas Fed Manf. Activity,7.4
3/26/13,Durable Goods Orders,5.70%
3/26/13,Durables Ex Transportation,-0.50%
3/26/13,Cap Goods Orders Nondef Ex Air,-2.70%
3/26/13,Cap Goods Ship Nondef Ex Air,1.90%
3/26/13,Richmond Fed Manufact. Index,3
3/26/13,Conf. Board Consumer Confidence,59.7
3/26/13,New Home Sales,411
3/26/13,New Home Sales MoM,-4.60%
3/27/13,MBA Mortgage Applications,7.70%
3/27/13,Pending Home Sales MoM,-0.40%
3/27/13,Pending Home Sales NSA YoY,5.00%
3/28/13,GDP Annualized QoQ,0.40%
3/28/13,Personal Consumption,1.80%
3/28/13,GDP Price Index,1.00%
3/28/13,Core PCE QoQ,1.00%
3/28/13,Initial Jobless Claims,357
3/28/13,Continuing Claims,3050
3/28/13,MNI Chicago PMI,52.4
3/28/13,Langer Consumer Comfort,-34.4
3/28/13,Kansas City Fed Manf. Activity,-5
3/29/13,Personal Income,1.10%
3/29/13,Personal Spending,0.70%
3/29/13,PCE Deflator MoM,0.40%
3/29/13,PCE Deflator YoY,1.30%
3/29/13,PCE Core Deflator MoM,0.10%
3/29/13,PCE Core Deflator YoY,1.30%
3/29/13,U. of Mich. Sentiment,78.6
4/1/13,Construction Spending MoM,1.20%
4/1/13,ISM Manufacturing,51.3
4/1/13,ISM Prices Paid,54.5
4/2/13,Factory Orders,3.00%
4/2/13,Wards Total Vehicle Sales,15.22
4/3/13,MBA Mortgage Applications,-4.00%
4/3/13,ADP Employment Change,158
4/3/13,ISM Services Index,54.4
4/4/13,Challenger Job Cuts YoY,30.00%
4/4/13,Initial Jobless Claims,385
4/4/13,Continuing Claims,3063
4/4/13,Langer Consumer Comfort,-34.1
4/5/13,Trade Balance,($43.00)
4/5/13,Change in Nonfarm Payrolls,88
4/5/13,Two-Month Payroll Net Revision,61
4/5/13,Change in Private Payrolls,95
4/5/13,Change in Manufact. Payrolls,-3
4/5/13,Unemployment Rate,7.60%
4/5/13,Average Hourly Earnings MoM,0.00%
4/5/13,Average Hourly Earnings YoY,1.80%
4/5/13,Average Weekly Hours All Employees,34.6
4/5/13,Underemployment Rate,13.80%
4/5/13,Consumer Credit,$18.14 
4/9/13,NFIB Small Business Optimism,89.5
4/9/13,Wholesale Inventories MoM,-0.30%
4/9/13,Wholesale Trade Sales MoM,1.70%
4/9/13,JOLTS Job Openings,3925
4/10/13,MBA Mortgage Applications,4.50%
4/10/13,FOMC Meeting Minutes,--
4/10/13,Monthly Budget Statement,($106.50)
4/11/13,Import Price Index MoM,-0.50%
4/11/13,Import Price Index YoY,-2.70%
4/11/13,Initial Jobless Claims,346
4/11/13,Continuing Claims,3079
4/11/13,Langer Consumer Comfort,-34
4/12/13,Retail Sales Advance MoM,-0.40%
4/12/13,Retail Sales Ex Auto MoM,-0.40%
4/12/13,Retail Sales Ex Auto and Gas,-0.10%
4/12/13,Retail Sales Control Group,-0.20%
4/12/13,U. of Mich. Sentiment,72.3
4/12/13,Business Inventories,0.10%
4/15/13,Empire Manufacturing,3.1
4/15/13,Total Net TIC Flows,$53.60 
4/15/13,Net Long-term TIC Flows,($17.80)
4/15/13,NAHB Housing Market Index,42
4/16/13,CPI MoM,-0.20%
4/16/13,CPI Ex Food and Energy MoM,0.10%
4/16/13,CPI YoY,1.50%
4/16/13,CPI Ex Food and Energy YoY,1.90%
4/16/13,CPI Core Index SA,232.758
4/16/13,CPI Index NSA,232.773
4/16/13,Housing Starts,1036
4/16/13,Housing Starts MoM,7.00%
4/16/13,Building Permits,902
4/16/13,Industrial Production MoM,0.40%
4/16/13,Capacity Utilization,78.50%
4/16/13,Manufacturing (SIC) Production,-0.10%
4/17/13,MBA Mortgage Applications,4.80%
4/18/13,Initial Jobless Claims,352
4/18/13,Continuing Claims,3068
4/18/13,Langer Consumer Comfort,-29.2
4/18/13,Philadelphia Fed Business Outlook,1.3
4/18/13,Leading Index,-0.10%
4/22/13,Chicago Fed Nat Activity Index,-0.23
4/22/13,Existing Home Sales,4.92
4/22/13,Existing Home Sales MoM,-0.60%
4/23/13,FHFA House Price Index MoM,0.70%
4/23/13,Richmond Fed Manufact. Index,-6
4/23/13,New Home Sales,417
4/23/13,New Home Sales MoM,1.50%
4/24/13,MBA Mortgage Applications,0.20%
4/24/13,Durable Goods Orders,-5.70%
4/24/13,Durables Ex Transportation,-1.40%
4/24/13,Cap Goods Orders Nondef Ex Air,0.20%
4/24/13,Cap Goods Ship Nondef Ex Air,0.30%
4/25/13,Initial Jobless Claims,339
4/25/13,Continuing Claims,3000
4/25/13,Langer Consumer Comfort,-29.9
4/25/13,Kansas City Fed Manf. Activity,-5
4/26/13,GDP Annualized QoQ,2.50%
4/26/13,Personal Consumption,3.20%
4/26/13,GDP Price Index,1.20%
4/26/13,Core PCE QoQ,1.20%
4/26/13,U. of Mich. Sentiment,76.4
4/29/13,Personal Income,0.20%
4/29/13,Personal Spending,0.20%
4/29/13,PCE Deflator MoM,-0.10%
4/29/13,PCE Deflator YoY,1.00%
4/29/13,PCE Core Deflator MoM,0.00%
4/29/13,PCE Core Deflator YoY,1.10%
4/29/13,Pending Home Sales MoM,1.50%
4/29/13,Pending Home Sales NSA YoY,5.80%
4/29/13,Dallas Fed Manf. Activity,-15.6
4/30/13,Employment Cost Index,0.30%
4/30/13,MNI Chicago PMI,49
4/30/13,Conf. Board Consumer Confidence,68.1
5/1/13,MBA Mortgage Applications,1.80%
5/1/13,ADP Employment Change,119
5/1/13,Construction Spending MoM,-1.70%
5/1/13,ISM Manufacturing,50.7
5/1/13,ISM Prices Paid,50
5/1/13,FOMC Rate Decision (Upper Bound),0.25%
5/1/13,Wards Total Vehicle Sales,14.88
5/2/13,Challenger Job Cuts YoY,-6.00%
5/2/13,Trade Balance,($38.80)
5/2/13,Nonfarm Productivity,0.70%
5/2/13,Unit Labor Costs,0.50%
5/2/13,Initial Jobless Claims,324
5/2/13,Continuing Claims,3019
5/2/13,Langer Consumer Comfort,-28.9
5/3/13,Change in Nonfarm Payrolls,165
5/3/13,Two-Month Payroll Net Revision,114
5/3/13,Change in Private Payrolls,176
5/3/13,Change in Manufact. Payrolls,0
5/3/13,Unemployment Rate,7.50%
5/3/13,Average Hourly Earnings MoM,0.20%
5/3/13,Average Hourly Earnings YoY,1.90%
5/3/13,Average Weekly Hours All Employees,34.4
5/3/13,Underemployment Rate,13.90%
5/3/13,Factory Orders,-4.00%
5/3/13,ISM Services Index,53.1
5/7/13,JOLTS Job Openings,3844
5/7/13,Consumer Credit,$7.97 
5/8/13,MBA Mortgage Applications,7.00%
5/9/13,Initial Jobless Claims,323
5/9/13,Continuing Claims,3005
5/9/13,Langer Consumer Comfort,-29.5
5/9/13,Mortgage Delinquencies,7.25%
5/9/13,MBA Mortgage Foreclosures,3.55%
5/9/13,Wholesale Inventories MoM,0.40%
5/9/13,Wholesale Trade Sales MoM,-1.60%
5/10/13,Monthly Budget Statement,$112.90 
5/13/13,Retail Sales Advance MoM,0.10%
5/13/13,Retail Sales Ex Auto MoM,-0.10%
5/13/13,Retail Sales Ex Auto and Gas,0.60%
5/13/13,Retail Sales Control Group,0.50%
5/13/13,Business Inventories,0.00%
5/14/13,NFIB Small Business Optimism,92.1
5/14/13,Import Price Index MoM,-0.50%
5/14/13,Import Price Index YoY,-2.60%
5/15/13,MBA Mortgage Applications,-7.30%
5/15/13,Empire Manufacturing,-1.4
5/15/13,Total Net TIC Flows,$2.10 
5/15/13,Net Long-term TIC Flows,($13.50)
5/15/13,Industrial Production MoM,-0.50%
5/15/13,Capacity Utilization,77.80%
5/15/13,Manufacturing (SIC) Production,-0.40%
5/15/13,NAHB Housing Market Index,44
5/16/13,CPI MoM,-0.40%
5/16/13,CPI Ex Food and Energy MoM,0.10%
5/16/13,CPI YoY,1.10%
5/16/13,CPI Ex Food and Energy YoY,1.70%
5/16/13,CPI Core Index SA,232.879
5/16/13,CPI Index NSA,232.531
5/16/13,Initial Jobless Claims,360
5/16/13,Continuing Claims,3009
5/16/13,Housing Starts,853
5/16/13,Housing Starts MoM,-16.50%
5/16/13,Building Permits,1017
5/16/13,Langer Consumer Comfort,-30.2
5/16/13,Philadelphia Fed Business Outlook,-5.2
5/17/13,U. of Mich. Sentiment,83.7
5/17/13,Leading Index,0.60%
5/20/13,Chicago Fed Nat Activity Index,-0.53
5/22/13,MBA Mortgage Applications,-9.80%
5/22/13,Existing Home Sales,4.97
5/22/13,Existing Home Sales MoM,0.60%
5/22/13,FOMC Meeting Minutes,--
5/23/13,Initial Jobless Claims,340
5/23/13,Continuing Claims,2912
5/23/13,FHFA House Price Index MoM,1.30%
5/23/13,House Price Purchase Index QoQ,2.00%
5/23/13,Langer Consumer Comfort,-29.4
5/23/13,New Home Sales,454
5/23/13,New Home Sales MoM,2.30%
5/23/13,Kansas City Fed Manf. Activity,2
5/24/13,Durable Goods Orders,3.30%
5/24/13,Durables Ex Transportation,1.30%
5/24/13,Cap Goods Orders Nondef Ex Air,1.20%
5/24/13,Cap Goods Ship Nondef Ex Air,-1.50%
5/28/13,Richmond Fed Manufact. Index,-2
5/28/13,Conf. Board Consumer Confidence,76.2
5/28/13,Dallas Fed Manf. Activity,-10.5
5/29/13,MBA Mortgage Applications,-8.80%
5/30/13,GDP Annualized QoQ,2.40%
5/30/13,Personal Consumption,3.40%
5/30/13,GDP Price Index,1.10%
5/30/13,Core PCE QoQ,1.30%
5/30/13,Initial Jobless Claims,354
5/30/13,Continuing Claims,2986
5/30/13,Langer Consumer Comfort,-29.7
5/30/13,Pending Home Sales MoM,0.30%
5/30/13,Pending Home Sales NSA YoY,13.90%
5/31/13,Personal Income,0.00%
5/31/13,Personal Spending,-0.20%
5/31/13,PCE Deflator MoM,-0.30%
5/31/13,PCE Deflator YoY,0.70%
5/31/13,PCE Core Deflator MoM,0.00%
5/31/13,PCE Core Deflator YoY,1.10%
5/31/13,MNI Chicago PMI,58.7
5/31/13,U. of Mich. Sentiment,84.5
6/3/13,Construction Spending MoM,0.40%
6/3/13,ISM Manufacturing,49
6/3/13,ISM Prices Paid,49.5
6/3/13,Wards Total Vehicle Sales,15.24
6/4/13,Trade Balance,($40.30)
6/5/13,MBA Mortgage Applications,-11.50%
6/5/13,ADP Employment Change,135
6/5/13,Nonfarm Productivity,0.50%
6/5/13,Unit Labor Costs,-4.30%
6/5/13,Factory Orders,1.00%
6/5/13,ISM Services Index,53.7
6/6/13,Challenger Job Cuts YoY,-41.20%
6/6/13,Initial Jobless Claims,346
6/6/13,Continuing Claims,2952
6/6/13,Langer Consumer Comfort,-29.7
6/6/13,Household Change in Net Worth,"$3,003 "
6/7/13,Change in Nonfarm Payrolls,175
6/7/13,Two-Month Payroll Net Revision,-12
6/7/13,Change in Private Payrolls,178
6/7/13,Change in Manufact. Payrolls,-8
6/7/13,Unemployment Rate,7.60%
6/7/13,Average Hourly Earnings MoM,0.00%
6/7/13,Average Hourly Earnings YoY,2.00%
6/7/13,Average Weekly Hours All Employees,34.5
6/7/13,Underemployment Rate,13.80%
6/7/13,Consumer Credit,$11.06 
6/11/13,NFIB Small Business Optimism,94.4
6/11/13,Wholesale Inventories MoM,0.20%
6/11/13,Wholesale Trade Sales MoM,0.50%
6/11/13,JOLTS Job Openings,3757
6/12/13,MBA Mortgage Applications,5.00%
6/12/13,Monthly Budget Statement,($138.70)
6/13/13,Retail Sales Advance MoM,0.60%
6/13/13,Retail Sales Ex Auto MoM,0.30%
6/13/13,Retail Sales Ex Auto and Gas,0.30%
6/13/13,Retail Sales Control Group,0.30%
6/13/13,Initial Jobless Claims,334
6/13/13,Continuing Claims,2973
6/13/13,Import Price Index MoM,-0.60%
6/13/13,Import Price Index YoY,-1.90%
6/13/13,Langer Consumer Comfort,-31.3
6/13/13,Business Inventories,0.30%
6/14/13,Current Account Balance,($106.10)
6/14/13,Total Net TIC Flows,$12.70 
6/14/13,Net Long-term TIC Flows,($37.30)
6/14/13,Industrial Production MoM,0.00%
6/14/13,Capacity Utilization,77.60%
6/14/13,Manufacturing (SIC) Production,0.10%
6/14/13,U. of Mich. Sentiment,82.7
6/17/13,Empire Manufacturing,7.8
6/17/13,NAHB Housing Market Index,52
6/18/13,CPI MoM,0.10%
6/18/13,CPI Ex Food and Energy MoM,0.20%
6/18/13,CPI YoY,1.40%
6/18/13,CPI Ex Food and Energy YoY,1.70%
6/18/13,CPI Core Index SA,233.267
6/18/13,CPI Index NSA,232.945
6/18/13,Housing Starts,914
6/18/13,Housing Starts MoM,6.80%
6/18/13,Building Permits,974
6/19/13,MBA Mortgage Applications,-3.30%
6/19/13,FOMC Rate Decision (Upper Bound),0.25%
6/20/13,Initial Jobless Claims,354
6/20/13,Continuing Claims,2951
6/20/13,Langer Consumer Comfort,-29.4
6/20/13,Philadelphia Fed Business Outlook,12.5
6/20/13,Existing Home Sales,5.18
6/20/13,Existing Home Sales MoM,4.20%
6/20/13,Leading Index,0.10%
6/24/13,Chicago Fed Nat Activity Index,-0.3
6/24/13,Dallas Fed Manf. Activity,6.5
6/25/13,Durable Goods Orders,3.60%
6/25/13,Durables Ex Transportation,0.70%
6/25/13,Cap Goods Orders Nondef Ex Air,1.10%
6/25/13,Cap Goods Ship Nondef Ex Air,1.70%
6/25/13,FHFA House Price Index MoM,0.70%
6/25/13,Richmond Fed Manufact. Index,8
6/25/13,Conf. Board Consumer Confidence,81.4
6/25/13,New Home Sales,476
6/25/13,New Home Sales MoM,2.10%
6/26/13,MBA Mortgage Applications,-3.00%
6/26/13,GDP Annualized QoQ,1.80%
6/26/13,Personal Consumption,2.60%
6/26/13,GDP Price Index,1.20%
6/26/13,Core PCE QoQ,1.30%
6/27/13,Personal Income,0.50%
6/27/13,Personal Spending,0.30%
6/27/13,PCE Deflator MoM,0.10%
6/27/13,PCE Deflator YoY,1.00%
6/27/13,PCE Core Deflator MoM,0.10%
6/27/13,PCE Core Deflator YoY,1.10%
6/27/13,Initial Jobless Claims,346
6/27/13,Continuing Claims,2965
6/27/13,Langer Consumer Comfort,-28.3
6/27/13,Pending Home Sales MoM,6.70%
6/27/13,Pending Home Sales NSA YoY,12.50%
6/27/13,Kansas City Fed Manf. Activity,-5
6/28/13,MNI Chicago PMI,51.6
6/28/13,U. of Mich. Sentiment,84.1
7/1/13,Construction Spending MoM,0.50%
7/1/13,ISM Manufacturing,50.9
7/1/13,ISM Prices Paid,52.5
7/2/13,Factory Orders,2.10%
7/2/13,Wards Total Vehicle Sales,15.89
7/3/13,MBA Mortgage Applications,-11.70%
7/3/13,Challenger Job Cuts YoY,4.80%
7/3/13,ADP Employment Change,188
7/3/13,Trade Balance,($45.00)
7/3/13,Initial Jobless Claims,343
7/3/13,Continuing Claims,2933
7/3/13,Langer Consumer Comfort,-27.5
7/3/13,ISM Services Index,52.2
7/5/13,Change in Nonfarm Payrolls,195
7/5/13,Two-Month Payroll Net Revision,70
7/5/13,Change in Private Payrolls,202
7/5/13,Change in Manufact. Payrolls,-6
7/5/13,Unemployment Rate,7.60%
7/5/13,Average Hourly Earnings MoM,0.40%
7/5/13,Average Hourly Earnings YoY,2.20%
7/5/13,Average Weekly Hours All Employees,34.5
7/5/13,Underemployment Rate,14.30%
7/8/13,Consumer Credit,$19.62 
7/9/13,NFIB Small Business Optimism,93.5
7/9/13,JOLTS Job Openings,3828
7/10/13,MBA Mortgage Applications,-4.00%
7/10/13,Wholesale Inventories MoM,-0.50%
7/10/13,Wholesale Trade Sales MoM,1.60%
7/10/13,FOMC Meeting Minutes,--
7/11/13,Import Price Index MoM,-0.20%
7/11/13,Import Price Index YoY,0.20%
7/11/13,Initial Jobless Claims,360
7/11/13,Continuing Claims,2977
7/11/13,Langer Consumer Comfort,-27.3
7/11/13,Monthly Budget Statement,$116.50 
7/12/13,U. of Mich. Sentiment,83.9
7/15/13,Empire Manufacturing,9.5
7/15/13,Retail Sales Advance MoM,0.40%
7/15/13,Retail Sales Ex Auto MoM,0.00%
7/15/13,Retail Sales Ex Auto and Gas,-0.10%
7/15/13,Retail Sales Control Group,0.10%
7/15/13,Business Inventories,0.10%
7/16/13,CPI MoM,0.50%
7/16/13,CPI Ex Food and Energy MoM,0.20%
7/16/13,CPI YoY,1.80%
7/16/13,CPI Ex Food and Energy YoY,1.60%
7/16/13,CPI Core Index SA,233.643
7/16/13,CPI Index NSA,233.504
7/16/13,Total Net TIC Flows,$56.40 
7/16/13,Net Long-term TIC Flows,($27.20)
7/16/13,Industrial Production MoM,0.30%
7/16/13,Capacity Utilization,77.80%
7/16/13,Manufacturing (SIC) Production,0.30%
7/16/13,NAHB Housing Market Index,57
7/17/13,MBA Mortgage Applications,-2.60%
7/17/13,Housing Starts,836
7/17/13,Housing Starts MoM,-9.90%
7/17/13,Building Permits,911
7/18/13,Initial Jobless Claims,334
7/18/13,Continuing Claims,3114
7/18/13,Langer Consumer Comfort,-28.4
7/18/13,Philadelphia Fed Business Outlook,19.8
7/18/13,Leading Index,0.00%
7/22/13,Chicago Fed Nat Activity Index,-0.13
7/22/13,Existing Home Sales,5.08
7/22/13,Existing Home Sales MoM,-1.20%
7/23/13,FHFA House Price Index MoM,0.70%
7/23/13,Richmond Fed Manufact. Index,-11
7/24/13,MBA Mortgage Applications,-1.20%
7/24/13,New Home Sales,497
7/24/13,New Home Sales MoM,8.30%
7/25/13,Initial Jobless Claims,343
7/25/13,Continuing Claims,2997
7/25/13,Durable Goods Orders,4.20%
7/25/13,Durables Ex Transportation,0.00%
7/25/13,Cap Goods Orders Nondef Ex Air,0.70%
7/25/13,Cap Goods Ship Nondef Ex Air,-0.90%
7/25/13,Langer Consumer Comfort,-27.3
7/25/13,Kansas City Fed Manf. Activity,6
7/26/13,U. of Mich. Sentiment,85.1
7/29/13,Pending Home Sales MoM,-0.40%
7/29/13,Pending Home Sales NSA YoY,9.10%
7/29/13,Dallas Fed Manf. Activity,4.4
7/30/13,Conf. Board Consumer Confidence,80.3
7/31/13,MBA Mortgage Applications,-3.70%
7/31/13,ADP Employment Change,200
7/31/13,Employment Cost Index,0.50%
7/31/13,GDP Annualized QoQ,1.70%
7/31/13,Personal Consumption,1.80%
7/31/13,GDP Price Index,0.70%
7/31/13,Core PCE QoQ,0.80%
7/31/13,MNI Chicago PMI,52.3
7/31/13,FOMC Rate Decision (Upper Bound),0.25%
8/1/13,Challenger Job Cuts YoY,2.30%
8/1/13,Initial Jobless Claims,326
8/1/13,Continuing Claims,2951
8/1/13,Langer Consumer Comfort,-27
8/1/13,Construction Spending MoM,-0.60%
8/1/13,ISM Manufacturing,55.4
8/1/13,ISM Prices Paid,49
8/1/13,Wards Total Vehicle Sales,15.6
8/2/13,Change in Nonfarm Payrolls,162
8/2/13,Two-Month Payroll Net Revision,-26
8/2/13,Change in Private Payrolls,161
8/2/13,Change in Manufact. Payrolls,6
8/2/13,Unemployment Rate,7.40%
8/2/13,Average Hourly Earnings MoM,-0.10%
8/2/13,Average Hourly Earnings YoY,1.90%
8/2/13,Average Weekly Hours All Employees,34.4
8/2/13,Underemployment Rate,14.00%
8/2/13,Personal Income,0.30%
8/2/13,Personal Spending,0.50%
8/2/13,PCE Deflator MoM,0.40%
8/2/13,PCE Deflator YoY,1.30%
8/2/13,PCE Core Deflator MoM,0.20%
8/2/13,PCE Core Deflator YoY,1.20%
8/2/13,Factory Orders,1.50%
8/5/13,ISM Services Index,56
8/6/13,Trade Balance,($34.20)
8/6/13,JOLTS Job Openings,3936
8/7/13,MBA Mortgage Applications,0.20%
8/7/13,Consumer Credit,$13.82 
8/8/13,Initial Jobless Claims,333
8/8/13,Continuing Claims,3018
8/8/13,Langer Consumer Comfort,-23.5
8/8/13,Mortgage Delinquencies,6.96%
8/8/13,MBA Mortgage Foreclosures,3.33%
8/9/13,Wholesale Inventories MoM,-0.20%
8/9/13,Wholesale Trade Sales MoM,0.40%
8/12/13,Monthly Budget Statement,($97.60)
8/13/13,NFIB Small Business Optimism,94.1
8/13/13,Import Price Index MoM,0.20%
8/13/13,Import Price Index YoY,1.00%
8/13/13,Retail Sales Advance MoM,0.20%
8/13/13,Retail Sales Ex Auto MoM,0.50%
8/13/13,Retail Sales Ex Auto and Gas,0.40%
8/13/13,Retail Sales Control Group,0.50%
8/13/13,Business Inventories,0.00%
8/14/13,MBA Mortgage Applications,-4.70%
8/15/13,Initial Jobless Claims,320
8/15/13,Continuing Claims,2969
8/15/13,Empire Manufacturing,8.2
8/15/13,CPI MoM,0.20%
8/15/13,CPI Ex Food and Energy MoM,0.20%
8/15/13,CPI YoY,2.00%
8/15/13,CPI Ex Food and Energy YoY,1.70%
8/15/13,CPI Core Index SA,234.004
8/15/13,CPI Index NSA,233.596
8/15/13,Total Net TIC Flows,($19.00)
8/15/13,Net Long-term TIC Flows,($66.90)
8/15/13,Industrial Production MoM,0.00%
8/15/13,Capacity Utilization,77.60%
8/15/13,Manufacturing (SIC) Production,-0.10%
8/15/13,Langer Consumer Comfort,-26.6
8/15/13,NAHB Housing Market Index,59
8/15/13,Philadelphia Fed Business Outlook,9.3
8/16/13,Nonfarm Productivity,0.90%
8/16/13,Unit Labor Costs,1.40%
8/16/13,Housing Starts,896
8/16/13,Housing Starts MoM,5.90%
8/16/13,Building Permits,943
